State,Week,1,2,3,4,5
PR,week3,0.00%,0.00%,0.00%,0.00%,0.00%
PR,week4,0.00%,0.00%,0.00%,0.00%,0.00%
PR,week5,0.00%,0.00%,0.00%,0.00%,0.00%
RI,week1,35.71%,7.14%,42.86%,0.00%,14.29%
RI,week2,50.00%,0.00%,50.00%,0.00%,0.00%
RI,week3,33.33%,0.00%,33.33%,0.00%,33.33%
RI,week4,20.00%,20.00%,60.00%,0.00%,0.00%
RI,week5,50.00%,0.00%,0.00%,0.00%,50.00%
SC,week1,33.33%,4.17%,41.67%,0.00%,20.83%
SC,week2,0.00%,0.00%,50.00%,0.00%,50.00%
SC,week3,50.00%,0.00%,0.00%,0.00%,50.00%
SC,week4,41.67%,8.33%,41.67%,0.00%,8.33%
SC,week5,25.00%,0.00%,50.00%,0.00%,25.00%
SD,week1,0.00%,0.00%,100.00%,0.00%,0.00%
SD,week2,0.00%,0.00%,0.00%,0.00%,0.00%
SD,week3,0.00%,0.00%,0.00%,0.00%,0.00%
SD,week4,0.00%,0.00%,100.00%,0.00%,0.00%
SD,week5,0.00%,0.00%,0.00%,0.00%,0.00%
TN,week1,26.47%,5.88%,41.18%,0.00%,26.47%
TN,week2,33.33%,0.00%,33.33%,0.00%,33.33%
TN,week3,16.67%,0.00%,66.67%,0.00%,16.67%
TN,week4,27.27%,0.00%,45.45%,0.00%,27.27%
TN,week5,27.27%,18.18%,27.27%,0.00%,27.27%
TX,week1,22.76%,9.76%,41.46%,1.63%,24.39%
TX,week2,22.22%,14.81%,40.74%,0.00%,22.22%
TX,week3,13.64%,4.55%,45.45%,0.00%,36.36%
TX,week4,32.50%,7.50%,37.50%,0.00%,22.50%
TX,week5,17.65%,11.76%,44.12%,5.88%,20.59%
UT,week1,38.46%,7.69%,30.77%,0.00%,23.08%
UT,week2,33.33%,0.00%,33.33%,0.00%,33.33%
UT,week3,50.00%,0.00%,50.00%,0.00%,0.00%
UT,week4,25.00%,25.00%,25.00%,0.00%,25.00%
UT,week5,50.00%,0.00%,0.00%,0.00%,50.00%
VA,week1,32.35%,5.88%,38.24%,1.47%,22.06%
VA,week2,33.33%,13.33%,26.67%,0.00%,26.67%
VA,week3,10.00%,0.00%,60.00%,0.00%,30.00%
VA,week4,35.00%,5.00%,40.00%,0.00%,20.00%
VA,week5,39.13%,4.35%,34.78%,4.35%,17.39%
VT,week1,30.00%,0.00%,60.00%,0.00%,10.00%
VT,week2,0.00%,0.00%,50.00%,0.00%,50.00%
VT,week3,50.00%,0.00%,50.00%,0.00%,0.00%
VT,week4,50.00%,0.00%,50.00%,0.00%,0.00%
VT,week5,25.00%,0.00%,75.00%,0.00%,0.00%
WA,week1,37.04%,3.70%,40.74%,1.23%,17.28%
WA,week2,45.00%,5.00%,30.00%,0.00%,20.00%
WA,week3,36.84%,0.00%,36.84%,0.00%,26.32%
WA,week4,41.67%,0.00%,45.83%,4.17%,8.33%
WA,week5,22.22%,11.11%,50.00%,0.00%,16.67%
WI,week1,46.15%,11.54%,30.77%,0.00%,11.54%
WI,week2,33.33%,16.67%,50.00%,0.00%,0.00%
WI,week3,62.50%,0.00%,37.50%,0.00%,0.00%
WI,week4,37.50%,12.50%,12.50%,0.00%,37.50%
WI,week5,50.00%,25.00%,25.00%,0.00%,0.00%
WV,week1,33.33%,0.00%,33.33%,0.00%,33.33%
WV,week2,0.00%,0.00%,100.00%,0.00%,0.00%
WV,week3,100.00%,0.00%,0.00%,0.00%,0.00%
WV,week4,0.00%,0.00%,0.00%,0.00%,0.00%
WV,week5,0.00%,0.00%,0.00%,0.00%,100.00%
WY,week1,0.00%,0.00%,0.00%,0.00%,100.00%
WY,week2,0.00%,0.00%,0.00%,0.00%,0.00%
WY,week3,0.00%,0.00%,0.00%,0.00%,0.00%
WY,week4,0.00%,0.00%,0.00%,0.00%,100.00%
WY,week5,0.00%,0.00%,0.00%,0.00%,100.00%
